mainKey,name,grade,isGodrAyed,main_category,sub_category,main_category_id,sub_category_id
15006,Magic Crystal of Abundance - Armor,1,false,Magic Crystal,Sub-weapon,50,2
15007,Magic Crystal of Abundance - Vigor,1,false,Magic Crystal,Sub-weapon,50,2
15009,Magic Crystal of Abundance - Healing,1,false,Magic Crystal,Sub-weapon,50,2
15012,Magic Crystal of Nature - Adamantine,1,false,Magic Crystal,Sub-weapon,50,2
15015,Magic Crystal of the Sun - Sturdiness,1,false,Magic Crystal,Sub-weapon,50,2
15018,Magic Crystal of Enchantment - Intimidation,1,false,Magic Crystal,Sub-weapon,50,2
15020,Magic Crystal of Enchantment - Agility,1,false,Magic Crystal,Sub-weapon,50,2
15106,Magic Crystal of Infinity - Armor,2,false,Magic Crystal,Sub-weapon,50,2
15107,Magic Crystal of Infinity - Vigor,2,false,Magic Crystal,Sub-weapon,50,2
15109,Magic Crystal of Infinity - Heal,2,false,Magic Crystal,Sub-weapon,50,2
15112,Magic Crystal of Infinity - Adamantine,2,false,Magic Crystal,Sub-weapon,50,2
15117,Magic Crystal of Infinity - Sturdiness,2,false,Magic Crystal,Sub-weapon,50,2
15122,Magic Crystal of Infinity - Intimidation,2,false,Magic Crystal,Sub-weapon,50,2
15124,Magic Crystal of Infinity - Agility,2,false,Magic Crystal,Sub-weapon,50,2
15136,Magic Crystal of Infinity - Special Evasion,2,false,Magic Crystal,Sub-weapon,50,2
15137,Magic Crystal of Infinity - Melee Defense,2,false,Magic Crystal,Sub-weapon,50,2
15138,Magic Crystal of Infinity - Ranged Defense,2,false,Magic Crystal,Sub-weapon,50,2
15139,Magic Crystal of Infinity - Magic Defense,2,false,Magic Crystal,Sub-weapon,50,2
15206,Black Magic Crystal - Armor,3,false,Magic Crystal,Sub-weapon,50,2
15207,Black Magic Crystal - Vigor,3,false,Magic Crystal,Sub-weapon,50,2
15211,Black Magic Crystal - Swiftness,3,false,Magic Crystal,Sub-weapon,50,2
15212,Black Magic Crystal - Adamantine,3,false,Magic Crystal,Sub-weapon,50,2
15217,Black Magic Crystal - Sturdiness,3,false,Magic Crystal,Sub-weapon,50,2
15218,Black Magic Crystal - Valor,3,false,Magic Crystal,Sub-weapon,50,2
15221,Black Magic Crystal - Memory,3,false,Magic Crystal,Sub-weapon,50,2
15222,Black Magic Crystal - Intimidation,3,false,Magic Crystal,Sub-weapon,50,2
15224,Black Magic Crystal - Agility,3,false,Magic Crystal,Sub-weapon,50,2
15255,Crystal of Frozen Bitterness,4,false,Magic Crystal,Sub-weapon,50,2
15601,Ancient Magic Crystal - Harphia,4,false,Magic Crystal,Sub-weapon,50,2
15602,Ancient Magic Crystal - Cobelinus,4,false,Magic Crystal,Sub-weapon,50,2
15610,Ancient Magic Crystal of Abundance - Armor,3,false,Magic Crystal,Sub-weapon,50,2
15613,Ancient Magic Crystal of Abundance - Healing,3,false,Magic Crystal,Sub-weapon,50,2
15614,Ancient Magic Crystal of Abundance - Resonance,3,false,Magic Crystal,Sub-weapon,50,2
15616,Ancient Magic Crystal of Nature - Adamantine,3,false,Magic Crystal,Sub-weapon,50,2
15624,Ancient Magic Crystal of Enchantment - Agility,3,false,Magic Crystal,Sub-weapon,50,2
15628,Black Magic Crystal - Harphia,4,false,Magic Crystal,Sub-weapon,50,2
15629,Black Magic Crystal - Cobelinus,4,false,Magic Crystal,Sub-weapon,50,2
15640,Red Battlefield Crystal: Adamantine,4,false,Magic Crystal,Sub-weapon,50,2
15670,Dark Red Fang Crystal - Armor,4,false,Magic Crystal,Sub-weapon,50,2
15687,WON Glorious Crystal of Honor - Special Evasion,4,false,Magic Crystal,Sub-weapon,50,2
15688,BON Glorious Crystal of Honor - Special Evasion,4,false,Magic Crystal,Sub-weapon,50,2
15689,JIN Glorious Crystal of Honor - Special Evasion,4,false,Magic Crystal,Sub-weapon,50,2
15712,Ancient Magic Crystal of Nature - Fighting Spirit,3,false,Magic Crystal,Sub-weapon,50,2
15713,Ancient Magic Crystal of Nature - Sturdiness,3,false,Magic Crystal,Sub-weapon,50,2
15714,Ancient Magic Crystal of Nature - Giant,3,false,Magic Crystal,Sub-weapon,50,2
15715,Red Battlefield Crystal: Fighting Spirit,4,false,Magic Crystal,Sub-weapon,50,2
15716,Red Battlefield Crystal: Sturdiness,4,false,Magic Crystal,Sub-weapon,50,2
15717,Red Battlefield Crystal: Giant,4,false,Magic Crystal,Sub-weapon,50,2
15801,JIN Magic Crystal - Harphia,4,false,Magic Crystal,Sub-weapon,50,2
15802,BON Magic Crystal - Harphia,4,false,Magic Crystal,Sub-weapon,50,2
15803,WON Magic Crystal - Harphia,4,false,Magic Crystal,Sub-weapon,50,2
15804,JIN Magic Crystal - Cobelinus,4,false,Magic Crystal,Sub-weapon,50,2
15805,BON Magic Crystal - Cobelinus,4,false,Magic Crystal,Sub-weapon,50,2
15806,WON Magic Crystal - Cobelinus,4,false,Magic Crystal,Sub-weapon,50,2
