mainKey,sumCount,name,grade,isGodrAyed,minPrice,main_category,sub_category,main_category_id,sub_category_id
20067,0,[Musa] Royal Enforcer Outfit Set A,4,false,424000000,Pearl Items,Male Apparel (Set),55,1
20069,0,[Musa] Royal Enforcer Outfit Set B,4,false,424000000,Pearl Items,Male Apparel (Set),55,1
21021,0,[Warrior] Bern Classic Set,4,false,630000000,Pearl Items,Male Apparel (Set),55,1
21022,0,[Warrior] Clead Classic Set,4,false,630000000,Pearl Items,Male Apparel (Set),55,1
21023,0,[Warrior] Karcenov Classic Set,4,false,630000000,Pearl Items,Male Apparel (Set),55,1
21024,0,[Warrior] Cavaro Classic Set,4,false,494000000,Pearl Items,Male Apparel (Set),55,1
21025,0,[Warrior] Evergart Classic Set,4,false,545000000,Pearl Items,Male Apparel (Set),55,1
21026,0,[Warrior] Lahr Arcien Classic Set,4,false,499000000,Pearl Items,Male Apparel (Set),55,1
21031,0,[Warrior] Atanis Classic Set,4,false,355000000,Pearl Items,Male Apparel (Set),55,1
21032,0,[Warrior] Red Robe Classic Set,4,false,471000000,Pearl Items,Male Apparel (Set),55,1
21033,0,[Warrior] Karlstein Classic Set,4,false,630000000,Pearl Items,Male Apparel (Set),55,1
21034,0,[Warrior] Kibelius Divinus Classic Set,4,false,630000000,Pearl Items,Male Apparel (Set),55,1
21035,0,[Warrior] Wilderness Classic Set,4,false,379000000,Pearl Items,Male Apparel (Set),55,1
21036,0,[Warrior] Kibelius Classic Set,4,false,630000000,Pearl Items,Male Apparel (Set),55,1
21038,0,[Warrior] Epheria Marine Classic Set,4,false,480000000,Pearl Items,Male Apparel (Set),55,1
21040,0,[Warrior] Cantusa Classic Set,4,false,455000000,Pearl Items,Male Apparel (Set),55,1
21081,0,[Berserker] Bethel Classic Set,4,false,630000000,Pearl Items,Male Apparel (Set),55,1
21082,0,[Berserker] Eckett Classic Set,4,false,438000000,Pearl Items,Male Apparel (Set),55,1
21084,0,[Berserker] Cavaro Classic Set,4,false,470000000,Pearl Items,Male Apparel (Set),55,1
21085,0,[Berserker] Clead Classic Set,4,false,409000000,Pearl Items,Male Apparel (Set),55,1
21086,0,[Berserker] Lahr Arcien Classic Set,4,false,630000000,Pearl Items,Male Apparel (Set),55,1
21089,0,[Berserker] Khaled Classic Set,4,false,540000000,Pearl Items,Male Apparel (Set),55,1
